H,G,F,E,D,C,B,A
H1,G2,F2,E2,D1,C3,B117,A3
H1,G2,F2,E2,D1,C3,B117,A4
H1,G2,F2,E2,D1,C3,B117,A5
H1,G2,F2,E2,D1,C3,B118,A1
H1,G2,F2,E2,D1,C3,B118,A2
H1,G2,F2,E2,D1,C3,B118,A3
H1,G2,F2,E2,D1,C3,B118,A4
H1,G2,F2,E2,D1,C3,B118,A5
H1,G2,F2,E2,D1,C4,B119,A1
H1,G2,F2,E2,D1,C4,B119,A2
H1,G2,F2,E2,D1,C4,B119,A3
H1,G2,F2,E2,D1,C4,B119,A4
H1,G2,F2,E2,D1,C4,B119,A5
H1,G2,F2,E2,D1,C4,B120,A1
H1,G2,F2,E2,D1,C4,B120,A2
H1,G2,F2,E2,D1,C4,B120,A3
H1,G2,F2,E2,D1,C4,B120,A4
H1,G2,F2,E2,D1,C4,B120,A5
H1,G2,F2,E2,D2,C1,B121,A1
H1,G2,F2,E2,D2,C1,B121,A2
H1,G2,F2,E2,D2,C1,B121,A3
H1,G2,F2,E2,D2,C1,B121,A4
H1,G2,F2,E2,D2,C1,B121,A5
H1,G2,F2,E2,D2,C1,B122,A1
H1,G2,F2,E2,D2,C1,B122,A2
H1,G2,F2,E2,D2,C1,B122,A3
H1,G2,F2,E2,D2,C1,B122,A4
H1,G2,F2,E2,D2,C1,B122,A5
H1,G2,F2,E2,D2,C2,B123,A1
H1,G2,F2,E2,D2,C2,B123,A2
H1,G2,F2,E2,D2,C2,B123,A3
H1,G2,F2,E2,D2,C2,B123,A4
H1,G2,F2,E2,D2,C2,B123,A5
H1,G2,F2,E2,D2,C2,B124,A1
H1,G2,F2,E2,D2,C2,B124,A2
H1,G2,F2,E2,D2,C2,B124,A3
H1,G2,F2,E2,D2,C2,B124,A4
H1,G2,F2,E2,D2,C2,B124,A5
H1,G2,F2,E2,D2,C3,B125,A1
H1,G2,F2,E2,D2,C3,B125,A2
H1,G2,F2,E2,D2,C3,B125,A3
H1,G2,F2,E2,D2,C3,B125,A4
H1,G2,F2,E2,D2,C3,B125,A5
H1,G2,F2,E2,D2,C3,B126,A1
H1,G2,F2,E2,D2,C3,B126,A2
H1,G2,F2,E2,D2,C3,B126,A3
H1,G2,F2,E2,D2,C3,B126,A4
H1,G2,F2,E2,D2,C3,B126,A5
H1,G2,F2,E2,D2,C4,B127,A1
H1,G2,F2,E2,D2,C4,B127,A2
H1,G2,F2,E2,D2,C4,B127,A3
H1,G2,F2,E2,D2,C4,B127,A4
H1,G2,F2,E2,D2,C4,B127,A5
H1,G2,F2,E2,D2,C4,B128,A1
H1,G2,F2,E2,D2,C4,B128,A2
H1,G2,F2,E2,D2,C4,B128,A3
H1,G2,F2,E2,D2,C4,B128,A4
H1,G2,F2,E2,D2,C4,B128,A5
H2,G3,F1,E1,D1,C1,B129,A1
H2,G3,F1,E1,D1,C1,B129,A2
H2,G3,F1,E1,D1,C1,B129,A3
H2,G3,F1,E1,D1,C1,B129,A4
H2,G3,F1,E1,D1,C1,B129,A5
H2,G3,F1,E1,D1,C1,B130,A1
H2,G3,F1,E1,D1,C1,B130,A2
H2,G3,F1,E1,D1,C1,B130,A3
H2,G3,F1,E1,D1,C1,B130,A4
H2,G3,F1,E1,D1,C1,B130,A5
H2,G3,F1,E1,D1,C2,B131,A1
H2,G3,F1,E1,D1,C2,B131,A2
H2,G3,F1,E1,D1,C2,B131,A3
H2,G3,F1,E1,D1,C2,B131,A4
H2,G3,F1,E1,D1,C2,B131,A5
H2,G3,F1,E1,D1,C2,B132,A1
H2,G3,F1,E1,D1,C2,B132,A2
H2,G3,F1,E1,D1,C2,B132,A3
H2,G3,F1,E1,D1,C2,B132,A4
H2,G3,F1,E1,D1,C2,B132,A5
H2,G3,F1,E1,D1,C3,B133,A1
H2,G3,F1,E1,D1,C3,B133,A2
H2,G3,F1,E1,D1,C3,B133,A3
H2,G3,F1,E1,D1,C3,B133,A4
H2,G3,F1,E1,D1,C3,B133,A5
H2,G3,F1,E1,D1,C3,B134,A1
H2,G3,F1,E1,D1,C3,B134,A2
H2,G3,F1,E1,D1,C3,B134,A3
H2,G3,F1,E1,D1,C3,B134,A4
H2,G3,F1,E1,D1,C3,B134,A5
H2,G3,F1,E1,D1,C4,B135,A1
H2,G3,F1,E1,D1,C4,B135,A2
H2,G3,F1,E1,D1,C4,B135,A3
H2,G3,F1,E1,D1,C4,B135,A4
H2,G3,F1,E1,D1,C4,B135,A5
H2,G3,F1,E1,D1,C4,B136,A1
H2,G3,F1,E1,D1,C4,B136,A2
H2,G3,F1,E1,D1,C4,B136,A3
H2,G3,F1,E1,D1,C4,B136,A4
H2,G3,F1,E1,D1,C4,B136,A5
H2,G3,F1,E1,D2,C1,B137,A1
H2,G3,F1,E1,D2,C1,B137,A2
H2,G3,F1,E1,D2,C1,B137,A3
H2,G3,F1,E1,D2,C1,B137,A4
H2,G3,F1,E1,D2,C1,B137,A5
H2,G3,F1,E1,D2,C1,B138,A1
H2,G3,F1,E1,D2,C1,B138,A2
H2,G3,F1,E1,D2,C1,B138,A3
H2,G3,F1,E1,D2,C1,B138,A4
H2,G3,F1,E1,D2,C1,B138,A5
H2,G3,F1,E1,D2,C2,B139,A1
H2,G3,F1,E1,D2,C2,B139,A2
H2,G3,F1,E1,D2,C2,B139,A3
H2,G3,F1,E1,D2,C2,B139,A4
H2,G3,F1,E1,D2,C2,B139,A5
H2,G3,F1,E1,D2,C2,B140,A1
H2,G3,F1,E1,D2,C2,B140,A2
H2,G3,F1,E1,D2,C2,B140,A3
H2,G3,F1,E1,D2,C2,B140,A4
H2,G3,F1,E1,D2,C2,B140,A5
H2,G3,F1,E1,D2,C3,B141,A1
H2,G3,F1,E1,D2,C3,B141,A2
H2,G3,F1,E1,D2,C3,B141,A3
H2,G3,F1,E1,D2,C3,B141,A4
H2,G3,F1,E1,D2,C3,B141,A5
H2,G3,F1,E1,D2,C3,B142,A1
H2,G3,F1,E1,D2,C3,B142,A2
H2,G3,F1,E1,D2,C3,B142,A3
H2,G3,F1,E1,D2,C3,B142,A4
H2,G3,F1,E1,D2,C3,B142,A5
H2,G3,F1,E1,D2,C4,B143,A1
H2,G3,F1,E1,D2,C4,B143,A2
H2,G3,F1,E1,D2,C4,B143,A3
H2,G3,F1,E1,D2,C4,B143,A4
H2,G3,F1,E1,D2,C4,B143,A5
H2,G3,F1,E1,D2,C4,B144,A1
H2,G3,F1,E1,D2,C4,B144,A2
H2,G3,F1,E1,D2,C4,B144,A3
H2,G3,F1,E1,D2,C4,B144,A4
H2,G3,F1,E1,D2,C4,B144,A5
H2,G3,F1,E2,D1,C1,B145,A1
H2,G3,F1,E2,D1,C1,B145,A2
H2,G3,F1,E2,D1,C1,B145,A3
H2,G3,F1,E2,D1,C1,B145,A4
H2,G3,F1,E2,D1,C1,B145,A5
H2,G3,F1,E2,D1,C1,B146,A1
H2,G3,F1,E2,D1,C1,B146,A2
H2,G3,F1,E2,D1,C1,B146,A3
H2,G3,F1,E2,D1,C1,B146,A4
H2,G3,F1,E2,D1,C1,B146,A5
H2,G3,F1,E2,D1,C2,B147,A1
H2,G3,F1,E2,D1,C2,B147,A2
H2,G3,F1,E2,D1,C2,B147,A3
H2,G3,F1,E2,D1,C2,B147,A4
H2,G3,F1,E2,D1,C2,B147,A5
H2,G3,F1,E2,D1,C2,B148,A1
H2,G3,F1,E2,D1,C2,B148,A2
H2,G3,F1,E2,D1,C2,B148,A3
H2,G3,F1,E2,D1,C2,B148,A4
H2,G3,F1,E2,D1,C2,B148,A5
H2,G3,F1,E2,D1,C3,B149,A1
H2,G3,F1,E2,D1,C3,B149,A2
H2,G3,F1,E2,D1,C3,B149,A3
H2,G3,F1,E2,D1,C3,B149,A4
H2,G3,F1,E2,D1,C3,B149,A5
H2,G3,F1,E2,D1,C3,B150,A1
H2,G3,F1,E2,D1,C3,B150,A2
H2,G3,F1,E2,D1,C3,B150,A3
H2,G3,F1,E2,D1,C3,B150,A4
H2,G3,F1,E2,D1,C3,B150,A5
H2,G3,F1,E2,D1,C4,B151,A1
H2,G3,F1,E2,D1,C4,B151,A2
H2,G3,F1,E2,D1,C4,B151,A3
H2,G3,F1,E2,D1,C4,B151,A4
H2,G3,F1,E2,D1,C4,B151,A5
H2,G3,F1,E2,D1,C4,B152,A1
H2,G3,F1,E2,D1,C4,B152,A2
H2,G3,F1,E2,D1,C4,B152,A3
H2,G3,F1,E2,D1,C4,B152,A4
H2,G3,F1,E2,D1,C4,B152,A5
H2,G3,F1,E2,D2,C1,B153,A1
H2,G3,F1,E2,D2,C1,B153,A2
H2,G3,F1,E2,D2,C1,B153,A3
H2,G3,F1,E2,D2,C1,B153,A4
H2,G3,F1,E2,D2,C1,B153,A5
H2,G3,F1,E2,D2,C1,B154,A1
H2,G3,F1,E2,D2,C1,B154,A2
H2,G3,F1,E2,D2,C1,B154,A3
H2,G3,F1,E2,D2,C1,B154,A4
H2,G3,F1,E2,D2,C1,B154,A5
H2,G3,F1,E2,D2,C2,B155,A1
H2,G3,F1,E2,D2,C2,B155,A2
H2,G3,F1,E2,D2,C2,B155,A3
H2,G3,F1,E2,D2,C2,B155,A4
H2,G3,F1,E2,D2,C2,B155,A5
H2,G3,F1,E2,D2,C2,B156,A1
H2,G3,F1,E2,D2,C2,B156,A2
H2,G3,F1,E2,D2,C2,B156,A3
H2,G3,F1,E2,D2,C2,B156,A4
H2,G3,F1,E2,D2,C2,B156,A5
H2,G3,F1,E2,D2,C3,B157,A1
H2,G3,F1,E2,D2,C3,B157,A2
H2,G3,F1,E2,D2,C3,B157,A3
H2,G3,F1,E2,D2,C3,B157,A4
H2,G3,F1,E2,D2,C3,B157,A5
H2,G3,F1,E2,D2,C3,B158,A1
H2,G3,F1,E2,D2,C3,B158,A2
H2,G3,F1,E2,D2,C3,B158,A3
H2,G3,F1,E2,D2,C3,B158,A4
H2,G3,F1,E2,D2,C3,B158,A5
H2,G3,F1,E2,D2,C4,B159,A1
H2,G3,F1,E2,D2,C4,B159,A2
H2,G3,F1,E2,D2,C4,B159,A3
H2,G3,F1,E2,D2,C4,B159,A4
H2,G3,F1,E2,D2,C4,B159,A5
H2,G3,F1,E2,D2,C4,B160,A1
H2,G3,F1,E2,D2,C4,B160,A2
H2,G3,F1,E2,D2,C4,B160,A3
H2,G3,F1,E2,D2,C4,B160,A4
H2,G3,F1,E2,D2,C4,B160,A5
H2,G3,F2,E1,D1,C1,B161,A1
H2,G3,F2,E1,D1,C1,B161,A2
H2,G3,F2,E1,D1,C1,B161,A3
H2,G3,F2,E1,D1,C1,B161,A4
H2,G3,F2,E1,D1,C1,B161,A5
H2,G3,F2,E1,D1,C1,B162,A1
H2,G3,F2,E1,D1,C1,B162,A2
H2,G3,F2,E1,D1,C1,B162,A3
H2,G3,F2,E1,D1,C1,B162,A4
H2,G3,F2,E1,D1,C1,B162,A5
H2,G3,F2,E1,D1,C2,B163,A1
H2,G3,F2,E1,D1,C2,B163,A2
H2,G3,F2,E1,D1,C2,B163,A3
H2,G3,F2,E1,D1,C2,B163,A4
H2,G3,F2,E1,D1,C2,B163,A5
H2,G3,F2,E1,D1,C2,B164,A1
H2,G3,F2,E1,D1,C2,B164,A2
H2,G3,F2,E1,D1,C2,B164,A3
H2,G3,F2,E1,D1,C2,B164,A4
H2,G3,F2,E1,D1,C2,B164,A5
H2,G3,F2,E1,D1,C3,B165,A1
H2,G3,F2,E1,D1,C3,B165,A2
H2,G3,F2,E1,D1,C3,B165,A3
H2,G3,F2,E1,D1,C3,B165,A4
H2,G3,F2,E1,D1,C3,B165,A5
H2,G3,F2,E1,D1,C3,B166,A1
H2,G3,F2,E1,D1,C3,B166,A2
H2,G3,F2,E1,D1,C3,B166,A3
H2,G3,F2,E1,D1,C3,B166,A4
H2,G3,F2,E1,D1,C3,B166,A5
H2,G3,F2,E1,D1,C4,B167,A1
H2,G3,F2,E1,D1,C4,B167,A2
H2,G3,F2,E1,D1,C4,B167,A3
H2,G3,F2,E1,D1,C4,B167,A4
H2,G3,F2,E1,D1,C4,B167,A5
H2,G3,F2,E1,D1,C4,B168,A1
H2,G3,F2,E1,D1,C4,B168,A2
H2,G3,F2,E1,D1,C4,B168,A3
H2,G3,F2,E1,D1,C4,B168,A4
H2,G3,F2,E1,D1,C4,B168,A5
H2,G3,F2,E1,D2,C1,B169,A1
H2,G3,F2,E1,D2,C1,B169,A2
H2,G3,F2,E1,D2,C1,B169,A3
H2,G3,F2,E1,D2,C1,B169,A4
H2,G3,F2,E1,D2,C1,B169,A5
H2,G3,F2,E1,D2,C1,B170,A1
H2,G3,F2,E1,D2,C1,B170,A2
H2,G3,F2,E1,D2,C1,B170,A3
H2,G3,F2,E1,D2,C1,B170,A4
H2,G3,F2,E1,D2,C1,B170,A5
H2,G3,F2,E1,D2,C2,B171,A1
H2,G3,F2,E1,D2,C2,B171,A2
H2,G3,F2,E1,D2,C2,B171,A3
H2,G3,F2,E1,D2,C2,B171,A4
H2,G3,F2,E1,D2,C2,B171,A5
H2,G3,F2,E1,D2,C2,B172,A1
H2,G3,F2,E1,D2,C2,B172,A2
H2,G3,F2,E1,D2,C2,B172,A3
H2,G3,F2,E1,D2,C2,B172,A4
H2,G3,F2,E1,D2,C2,B172,A5
H2,G3,F2,E1,D2,C3,B173,A1
H2,G3,F2,E1,D2,C3,B173,A2
H2,G3,F2,E1,D2,C3,B173,A3
H2,G3,F2,E1,D2,C3,B173,A4
H2,G3,F2,E1,D2,C3,B173,A5
H2,G3,F2,E1,D2,C3,B174,A1
H2,G3,F2,E1,D2,C3,B174,A2
H2,G3,F2,E1,D2,C3,B174,A3
H2,G3,F2,E1,D2,C3,B174,A4
H2,G3,F2,E1,D2,C3,B174,A5
H2,G3,F2,E1,D2,C4,B175,A1
H2,G3,F2,E1,D2,C4,B175,A2
H2,G3,F2,E1,D2,C4,B175,A3
H2,G3,F2,E1,D2,C4,B175,A4
H2,G3,F2,E1,D2,C4,B175,A5
H2,G3,F2,E1,D2,C4,B176,A1
H2,G3,F2,E1,D2,C4,B176,A2
H2,G3,F2,E1,D2,C4,B176,A3
H2,G3,F2,E1,D2,C4,B176,A4
H2,G3,F2,E1,D2,C4,B176,A5
H2,G3,F2,E2,D1,C1,B177,A1
H2,G3,F2,E2,D1,C1,B177,A2
H2,G3,F2,E2,D1,C1,B177,A3
H2,G3,F2,E2,D1,C1,B177,A4
H2,G3,F2,E2,D1,C1,B177,A5
H2,G3,F2,E2,D1,C1,B178,A1
H2,G3,F2,E2,D1,C1,B178,A2
H2,G3,F2,E2,D1,C1,B178,A3
H2,G3,F2,E2,D1,C1,B178,A4
H2,G3,F2,E2,D1,C1,B178,A5
H2,G3,F2,E2,D1,C2,B179,A1
H2,G3,F2,E2,D1,C2,B179,A2
H2,G3,F2,E2,D1,C2,B179,A3
H2,G3,F2,E2,D1,C2,B179,A4
H2,G3,F2,E2,D1,C2,B179,A5
H2,G3,F2,E2,D1,C2,B180,A1
H2,G3,F2,E2,D1,C2,B180,A2
H2,G3,F2,E2,D1,C2,B180,A3
H2,G3,F2,E2,D1,C2,B180,A4
H2,G3,F2,E2,D1,C2,B180,A5
H2,G3,F2,E2,D1,C3,B181,A1
H2,G3,F2,E2,D1,C3,B181,A2
H2,G3,F2,E2,D1,C3,B181,A3
H2,G3,F2,E2,D1,C3,B181,A4
H2,G3,F2,E2,D1,C3,B181,A5
H2,G3,F2,E2,D1,C3,B182,A1
H2,G3,F2,E2,D1,C3,B182,A2
H2,G3,F2,E2,D1,C3,B182,A3
H2,G3,F2,E2,D1,C3,B182,A4
H2,G3,F2,E2,D1,C3,B182,A5
H2,G3,F2,E2,D1,C4,B183,A1
H2,G3,F2,E2,D1,C4,B183,A2
H2,G3,F2,E2,D1,C4,B183,A3
H2,G3,F2,E2,D1,C4,B183,A4
H2,G3,F2,E2,D1,C4,B183,A5
H2,G3,F2,E2,D1,C4,B184,A1
H2,G3,F2,E2,D1,C4,B184,A2
H2,G3,F2,E2,D1,C4,B184,A3
H2,G3,F2,E2,D1,C4,B184,A4
H2,G3,F2,E2,D1,C4,B184,A5
H2,G3,F2,E2,D2,C1,B185,A1
H2,G3,F2,E2,D2,C1,B185,A2
H2,G3,F2,E2,D2,C1,B185,A3
H2,G3,F2,E2,D2,C1,B185,A4
H2,G3,F2,E2,D2,C1,B185,A5
H2,G3,F2,E2,D2,C1,B186,A1
H2,G3,F2,E2,D2,C1,B186,A2
H2,G3,F2,E2,D2,C1,B186,A3
H2,G3,F2,E2,D2,C1,B186,A4
H2,G3,F2,E2,D2,C1,B186,A5
H2,G3,F2,E2,D2,C2,B187,A1
H2,G3,F2,E2,D2,C2,B187,A2
H2,G3,F2,E2,D2,C2,B187,A3
H2,G3,F2,E2,D2,C2,B187,A4
H2,G3,F2,E2,D2,C2,B187,A5
H2,G3,F2,E2,D2,C2,B188,A1
H2,G3,F2,E2,D2,C2,B188,A2
H2,G3,F2,E2,D2,C2,B188,A3
H2,G3,F2,E2,D2,C2,B188,A4
H2,G3,F2,E2,D2,C2,B188,A5
H2,G3,F2,E2,D2,C3,B189,A1
H2,G3,F2,E2,D2,C3,B189,A2
H2,G3,F2,E2,D2,C3,B189,A3
H2,G3,F2,E2,D2,C3,B189,A4
H2,G3,F2,E2,D2,C3,B189,A5
H2,G3,F2,E2,D2,C3,B190,A1
H2,G3,F2,E2,D2,C3,B190,A2
H2,G3,F2,E2,D2,C3,B190,A3
H2,G3,F2,E2,D2,C3,B190,A4
H2,G3,F2,E2,D2,C3,B190,A5
H2,G3,F2,E2,D2,C4,B191,A1
H2,G3,F2,E2,D2,C4,B191,A2
H2,G3,F2,E2,D2,C4,B191,A3
H2,G3,F2,E2,D2,C4,B191,A4
H2,G3,F2,E2,D2,C4,B191,A5
H2,G3,F2,E2,D2,C4,B192,A1
H2,G3,F2,E2,D2,C4,B192,A2
H2,G3,F2,E2,D2,C4,B192,A3
H2,G3,F2,E2,D2,C4,B192,A4
H2,G3,F2,E2,D2,C4,B192,A5
H2,G4,F1,E1,D1,C1,B193,A1
H2,G4,F1,E1,D1,C1,B193,A2
H2,G4,F1,E1,D1,C1,B193,A3
H2,G4,F1,E1,D1,C1,B193,A4
H2,G4,F1,E1,D1,C1,B193,A5
H2,G4,F1,E1,D1,C1,B194,A1
H2,G4,F1,E1,D1,C1,B194,A2
H2,G4,F1,E1,D1,C1,B194,A3
H2,G4,F1,E1,D1,C1,B194,A4
H2,G4,F1,E1,D1,C1,B194,A5
H2,G4,F1,E1,D1,C2,B195,A1
H2,G4,F1,E1,D1,C2,B195,A2
H2,G4,F1,E1,D1,C2,B195,A3
H2,G4,F1,E1,D1,C2,B195,A4
H2,G4,F1,E1,D1,C2,B195,A5
H2,G4,F1,E1,D1,C2,B196,A1
H2,G4,F1,E1,D1,C2,B196,A2
H2,G4,F1,E1,D1,C2,B196,A3
H2,G4,F1,E1,D1,C2,B196,A4
H2,G4,F1,E1,D1,C2,B196,A5
H2,G4,F1,E1,D1,C3,B197,A1
H2,G4,F1,E1,D1,C3,B197,A2
H2,G4,F1,E1,D1,C3,B197,A3
H2,G4,F1,E1,D1,C3,B197,A4
H2,G4,F1,E1,D1,C3,B197,A5
H2,G4,F1,E1,D1,C3,B198,A1
H2,G4,F1,E1,D1,C3,B198,A2
H2,G4,F1,E1,D1,C3,B198,A3
H2,G4,F1,E1,D1,C3,B198,A4
H2,G4,F1,E1,D1,C3,B198,A5
H2,G4,F1,E1,D1,C4,B199,A1
H2,G4,F1,E1,D1,C4,B199,A2
H2,G4,F1,E1,D1,C4,B199,A3
H2,G4,F1,E1,D1,C4,B199,A4
H2,G4,F1,E1,D1,C4,B199,A5
H2,G4,F1,E1,D1,C4,B200,A1
H2,G4,F1,E1,D1,C4,B200,A2
H2,G4,F1,E1,D1,C4,B200,A3
H2,G4,F1,E1,D1,C4,B200,A4
H2,G4,F1,E1,D1,C4,B200,A5
H2,G4,F1,E1,D2,C1,B201,A1
H2,G4,F1,E1,D2,C1,B201,A2
H2,G4,F1,E1,D2,C1,B201,A3
H2,G4,F1,E1,D2,C1,B201,A4
H2,G4,F1,E1,D2,C1,B201,A5
H2,G4,F1,E1,D2,C1,B202,A1
H2,G4,F1,E1,D2,C1,B202,A2
H2,G4,F1,E1,D2,C1,B202,A3
H2,G4,F1,E1,D2,C1,B202,A4
H2,G4,F1,E1,D2,C1,B202,A5
H2,G4,F1,E1,D2,C2,B203,A1
H2,G4,F1,E1,D2,C2,B203,A2
H2,G4,F1,E1,D2,C2,B203,A3
H2,G4,F1,E1,D2,C2,B203,A4
H2,G4,F1,E1,D2,C2,B203,A5
H2,G4,F1,E1,D2,C2,B204,A1
H2,G4,F1,E1,D2,C2,B204,A2
H2,G4,F1,E1,D2,C2,B204,A3
H2,G4,F1,E1,D2,C2,B204,A4
H2,G4,F1,E1,D2,C2,B204,A5
H2,G4,F1,E1,D2,C3,B205,A1
H2,G4,F1,E1,D2,C3,B205,A2
H2,G4,F1,E1,D2,C3,B205,A3
H2,G4,F1,E1,D2,C3,B205,A4
H2,G4,F1,E1,D2,C3,B205,A5
H2,G4,F1,E1,D2,C3,B206,A1
H2,G4,F1,E1,D2,C3,B206,A2
H2,G4,F1,E1,D2,C3,B206,A3
H2,G4,F1,E1,D2,C3,B206,A4
H2,G4,F1,E1,D2,C3,B206,A5
H2,G4,F1,E1,D2,C4,B207,A1
H2,G4,F1,E1,D2,C4,B207,A2
H2,G4,F1,E1,D2,C4,B207,A3
H2,G4,F1,E1,D2,C4,B207,A4
H2,G4,F1,E1,D2,C4,B207,A5
H2,G4,F1,E1,D2,C4,B208,A1
H2,G4,F1,E1,D2,C4,B208,A2
H2,G4,F1,E1,D2,C4,B208,A3
H2,G4,F1,E1,D2,C4,B208,A4
H2,G4,F1,E1,D2,C4,B208,A5
H2,G4,F1,E2,D1,C1,B209,A1
H2,G4,F1,E2,D1,C1,B209,A2
H2,G4,F1,E2,D1,C1,B209,A3
H2,G4,F1,E2,D1,C1,B209,A4
H2,G4,F1,E2,D1,C1,B209,A5
H2,G4,F1,E2,D1,C1,B210,A1
H2,G4,F1,E2,D1,C1,B210,A2
H2,G4,F1,E2,D1,C1,B210,A3
H2,G4,F1,E2,D1,C1,B210,A4
H2,G4,F1,E2,D1,C1,B210,A5
H2,G4,F1,E2,D1,C2,B211,A1
H2,G4,F1,E2,D1,C2,B211,A2
H2,G4,F1,E2,D1,C2,B211,A3
H2,G4,F1,E2,D1,C2,B211,A4
H2,G4,F1,E2,D1,C2,B211,A5
H2,G4,F1,E2,D1,C2,B212,A1
H2,G4,F1,E2,D1,C2,B212,A2
H2,G4,F1,E2,D1,C2,B212,A3
H2,G4,F1,E2,D1,C2,B212,A4
H2,G4,F1,E2,D1,C2,B212,A5
H2,G4,F1,E2,D1,C3,B213,A1
H2,G4,F1,E2,D1,C3,B213,A2
H2,G4,F1,E2,D1,C3,B213,A3
H2,G4,F1,E2,D1,C3,B213,A4
H2,G4,F1,E2,D1,C3,B213,A5
H2,G4,F1,E2,D1,C3,B214,A1
H2,G4,F1,E2,D1,C3,B214,A2
H2,G4,F1,E2,D1,C3,B214,A3
H2,G4,F1,E2,D1,C3,B214,A4
H2,G4,F1,E2,D1,C3,B214,A5
H2,G4,F1,E2,D1,C4,B215,A1
H2,G4,F1,E2,D1,C4,B215,A2
H2,G4,F1,E2,D1,C4,B215,A3
H2,G4,F1,E2,D1,C4,B215,A4
H2,G4,F1,E2,D1,C4,B215,A5
H2,G4,F1,E2,D1,C4,B216,A1
H2,G4,F1,E2,D1,C4,B216,A2
H2,G4,F1,E2,D1,C4,B216,A3
H2,G4,F1,E2,D1,C4,B216,A4
H2,G4,F1,E2,D1,C4,B216,A5
H2,G4,F1,E2,D2,C1,B217,A1
H2,G4,F1,E2,D2,C1,B217,A2
H2,G4,F1,E2,D2,C1,B217,A3
H2,G4,F1,E2,D2,C1,B217,A4
H2,G4,F1,E2,D2,C1,B217,A5
H2,G4,F1,E2,D2,C1,B218,A1
H2,G4,F1,E2,D2,C1,B218,A2
H2,G4,F1,E2,D2,C1,B218,A3
H2,G4,F1,E2,D2,C1,B218,A4
H2,G4,F1,E2,D2,C1,B218,A5
H2,G4,F1,E2,D2,C2,B219,A1
H2,G4,F1,E2,D2,C2,B219,A2
H2,G4,F1,E2,D2,C2,B219,A3
H2,G4,F1,E2,D2,C2,B219,A4
H2,G4,F1,E2,D2,C2,B219,A5
H2,G4,F1,E2,D2,C2,B220,A1
H2,G4,F1,E2,D2,C2,B220,A2
H2,G4,F1,E2,D2,C2,B220,A3
H2,G4,F1,E2,D2,C2,B220,A4
H2,G4,F1,E2,D2,C2,B220,A5
H2,G4,F1,E2,D2,C3,B221,A1
H2,G4,F1,E2,D2,C3,B221,A2
H2,G4,F1,E2,D2,C3,B221,A3
H2,G4,F1,E2,D2,C3,B221,A4
H2,G4,F1,E2,D2,C3,B221,A5
H2,G4,F1,E2,D2,C3,B222,A1
H2,G4,F1,E2,D2,C3,B222,A2
H2,G4,F1,E2,D2,C3,B222,A3
H2,G4,F1,E2,D2,C3,B222,A4
H2,G4,F1,E2,D2,C3,B222,A5
H2,G4,F1,E2,D2,C4,B223,A1
H2,G4,F1,E2,D2,C4,B223,A2
H2,G4,F1,E2,D2,C4,B223,A3
H2,G4,F1,E2,D2,C4,B223,A4
H2,G4,F1,E2,D2,C4,B223,A5
H2,G4,F1,E2,D2,C4,B224,A1
H2,G4,F1,E2,D2,C4,B224,A2
H2,G4,F1,E2,D2,C4,B224,A3
H2,G4,F1,E2,D2,C4,B224,A4
H2,G4,F1,E2,D2,C4,B224,A5
H2,G4,F2,E1,D1,C1,B225,A1
H2,G4,F2,E1,D1,C1,B225,A2
H2,G4,F2,E1,D1,C1,B225,A3
H2,G4,F2,E1,D1,C1,B225,A4
H2,G4,F2,E1,D1,C1,B225,A5
H2,G4,F2,E1,D1,C1,B226,A1
H2,G4,F2,E1,D1,C1,B226,A2
H2,G4,F2,E1,D1,C1,B226,A3
H2,G4,F2,E1,D1,C1,B226,A4
H2,G4,F2,E1,D1,C1,B226,A5
H2,G4,F2,E1,D1,C2,B227,A1
H2,G4,F2,E1,D1,C2,B227,A2
H2,G4,F2,E1,D1,C2,B227,A3
H2,G4,F2,E1,D1,C2,B227,A4
H2,G4,F2,E1,D1,C2,B227,A5
H2,G4,F2,E1,D1,C2,B228,A1
H2,G4,F2,E1,D1,C2,B228,A2
H2,G4,F2,E1,D1,C2,B228,A3
H2,G4,F2,E1,D1,C2,B228,A4
H2,G4,F2,E1,D1,C2,B228,A5
H2,G4,F2,E1,D1,C3,B229,A1
H2,G4,F2,E1,D1,C3,B229,A2
H2,G4,F2,E1,D1,C3,B229,A3
H2,G4,F2,E1,D1,C3,B229,A4
H2,G4,F2,E1,D1,C3,B229,A5
H2,G4,F2,E1,D1,C3,B230,A1
H2,G4,F2,E1,D1,C3,B230,A2
H2,G4,F2,E1,D1,C3,B230,A3
H2,G4,F2,E1,D1,C3,B230,A4
H2,G4,F2,E1,D1,C3,B230,A5
H2,G4,F2,E1,D1,C4,B231,A1
H2,G4,F2,E1,D1,C4,B231,A2
H2,G4,F2,E1,D1,C4,B231,A3
H2,G4,F2,E1,D1,C4,B231,A4
H2,G4,F2,E1,D1,C4,B231,A5
H2,G4,F2,E1,D1,C4,B232,A1
H2,G4,F2,E1,D1,C4,B232,A2
H2,G4,F2,E1,D1,C4,B232,A3
H2,G4,F2,E1,D1,C4,B232,A4
H2,G4,F2,E1,D1,C4,B232,A5
H2,G4,F2,E1,D2,C1,B233,A1
H2,G4,F2,E1,D2,C1,B233,A2
H2,G4,F2,E1,D2,C1,B233,A3
H2,G4,F2,E1,D2,C1,B233,A4
